Strike,Call Gamma,Call Open Interest,Call Gamma Exposure,Put Gamma,Put Open Interest,Put Gamma Exposure,Net Gamma Exposure,Absolute Gamma Exposure,Aggregated Call Exposure,Aggregated Put Exposure,Gamma Exposure Profile
23550,0.0013,0.0000,0.0000,0.0014,38.0000,-2452253.3874,-2452253.3874,2452253.3874,,-1346257286.0332313,-2099121604.9211
23575,0.0002,0.0000,0.0000,0.0002,10.0000,-201689.8473,-201689.8473,201689.8473,,-179383097.96996197,-2163992697.5828
23600,0.0015,2.0000,94695.8429,0.0015,154.0000,-8170898.4485,-8076202.6056,8265594.2913999995,437028357.63913226,-8055281288.923704,-2235700617.0161
23625,0.0002,1.0000,118677.2577,0.0002,8.0000,-563255.7931,-444578.5354,681933.0508,24704396.203940403,-172943480.90102524,-2314651814.0264
23650,0.0015,2.0000,242273.7800,0.0015,27.0000,-2329271.7732,-2086997.9932000001,2571545.5532,50448486.90712327,-644563761.2751877,-2401116503.1723
23675,0.0002,0.0000,0.0000,0.0003,6.0000,-217677.4572,-217677.4572,217677.4572,,-117932460.88565087,-2495145038.3087
23700,0.0017,3.0000,158646.2823,0.0016,96.0000,-6449770.7575,-6291124.4752,6608417.0398,1771163819.6630657,-25668735666.562366,-2596476485.5754
23725,0.0002,0.0000,0.0000,0.0002,24.0000,-1180623.4965,-1180623.4965,1180623.4965,,-532158151.8543467,-2704449473.6214
23750,0.0017,0.0000,0.0000,0.0017,576.0000,-72725792.4742,-72725792.4742,72725792.4742,,-16010903367.805794,-2817927691.9209
23775,0.0002,0.0000,0.0000,0.0003,16.0000,-1661481.6080,-1661481.608,1661481.608,,-413727119.9738801,-2935253274.1611
23800,0.0017,4.0000,0.0000,0.0018,178.0000,-10036529.5361,-10036529.5361,10036529.5361,381330923.3388529,-12807927262.185133,-3054240319.7271
23825,0.0003,0.0000,0.0000,0.0003,37.0000,-3013664.4563,-3013664.4563,3013664.4563,,-935271168.7930409,-3172217795.1416
23850,0.0018,65.0000,9499714.7900,0.0019,33.0000,-3660547.7471,5839167.0429,13160262.537099998,1992633768.96728,-1038939633.1983607,-3286126166.6064
