Strike,Call Gamma,Call Open Interest,Call Gamma Exposure,Put Gamma,Put Open Interest,Put Gamma Exposure,Net Gamma Exposure,Absolute Gamma Exposure,Aggregated Call Exposure,Aggregated Put Exposure,Gamma Exposure Profile
24300,0.0003,0.0000,0.0000,0.0003,93.0000,-15325968.7635,-15325968.7635,15325968.7635,23421950.157748964,-5439301423.786683,-2116552389.2523
24325,0.0000,0.0000,0.0000,0.0003,88.0000,-15476006.3328,-15476006.3328,15476006.3328,0,-4472572420.535163,-2096430630.5082
24350,0.0000,0.0000,0.0000,0.0003,108.0000,-22579424.3699,-22579424.3699,22579424.3699,0,-6054940073.88739,-2071591422.6631
24375,0.0000,0.0000,0.0000,0.0004,28.0000,-6697578.7102,-6697578.7102,6697578.7102,0,-1537556024.0717437,-2041201184.0757
24400,0.0003,0.0000,0.0000,0.0005,60.0000,-16713201.3718,-16713201.3718,16713201.3718,656367035.6620433,-13434600975.477919,-2003967849.9063
24425,0.0004,0.0000,0.0000,0.0005,71.0000,-22615089.0380,-22615089.038,22615089.038,79915317.78200012,-4634549294.836434,-1958159374.7907
24450,0.0005,5.0000,1537270.1777,0.0006,29.0000,-10360586.0896,-8823315.9119,11897856.2673,307261942.96772325,-4278505953.680656,-1901655916.9512
24475,0.0006,2.0000,714523.1786,0.0007,29.0000,-11787172.8144,-11072649.6358,12501695.993,126586480.46131018,-2225794681.831618,-1832038196.2609
24500,0.0007,28.0000,11466805.7094,0.0007,120.0000,-55267937.4283,-43801131.7189,66734743.1377,3759211732.5894194,-16984757646.5199,-1746711704.1134
24525,0.0008,1.0000,493156.2730,0.0008,19.0000,-9884032.3345,-9390876.0615,10377188.6075,107570093.34987533,-1911941646.4847589,-1643062865.9189
24550,0.0009,0.0000,0.0000,0.0010,90.0000,-52740665.2562,-52740665.2562,52740665.2562,1593425038.821924,-10031205145.597845,-1518639382.4737
24575,0.0011,0.0000,0.0000,0.0011,36.0000,-23641985.5167,-23641985.5167,23641985.5167,104863091.46227324,-3612132781.389798,-1371343371.0453
24600,0.0012,1.0000,729895.8804,0.0012,424.0000,-309736574.2976,-309006678.41719997,310466470.178,343987218.6782918,-40670536255.71159,-1199623155.1579
24625,0.0013,5.0000,4110660.4551,0.0013,13.0000,-10447903.0356,-6337242.580499999,14558563.490699999,352520794.76809615,-1242037611.1544554,-1002648075.4971
