Strike,Call Gamma,Call Open Interest,Call Gamma Exposure,Put Gamma,Put Open Interest,Put Gamma Exposure,Net Gamma Exposure,Absolute Gamma Exposure,Aggregated Call Exposure,Aggregated Put Exposure,Gamma Exposure Profile
6615,0.0064,954.0000,201526.0871,0.0082,2067.0000,-45557090.8408,-45355564.7537,45758616.9279,7643303551.5736475,-24628188087.24631,-44002430158.3471
6620,0.0102,261.0000,351069.7443,0.0119,3607.0000,-95664621.8945,-95313552.15020001,96015691.6388,2582533048.161218,-44821883237.90183,-45571939152.1215
6625,0.0105,840.0000,6216938.5308,0.0122,8972.0000,-265685260.0178,-259468321.487,271902198.5486,34613145585.30731,-195306922599.0705,-47135521701.9077
6630,0.0108,137.0000,922499.7894,0.0125,3486.0000,-115055622.0873,-114133122.2979,115978121.8767,2307296714.689961,-52971010870.80691,-48672457451.6800
6635,0.0073,59.0000,1673184.4639,0.0092,2653.0000,-76356963.0975,-74683778.6336,78030147.5614,598130359.2129046,-34501601827.061554,-50161970238.7599
6640,0.0114,349.0000,1204542.1403,0.0131,9392.0000,-358617131.6684,-357412589.5281,359821673.80869997,3556513064.145679,-85271590657.45,-51584027499.2334
6645,0.0078,22.0000,420567.9930,0.0096,3342.0000,-97133408.0537,-96712840.0607,97553976.0467,294050362.8586586,-38632139847.84973,-52920081533.4378
6650,0.0120,2362.0000,8951995.9659,0.0137,28548.0000,-952311571.7361,-943359575.7702,961263567.7019999,118762019659.42381,-481590882428.95087,-54153703890.0686
6655,0.0083,63.0000,1283881.2657,0.0102,5568.0000,-109946041.1538,-108662159.8881,111229922.4195,710946996.4933549,-58565503830.63816,-55271078272.4845
6660,0.0125,434.0000,5401228.7334,0.0144,12986.0000,-510848478.2217,-505447249.4883,516249706.9551,5032258228.822242,-156233133371.0021,-56261334538.6552
6665,0.0088,30.0000,698984.7578,0.0108,3095.0000,-98499123.9781,-97800139.2203,99198108.7359,582288713.5798873,-35362095839.09837,-57116723635.8873
6670,0.0135,343.0000,2443268.3786,0.0151,3940.0000,-154965980.2185,-152522711.8399,157409248.5971,4519226938.763569,-58034089356.41052,-57832647832.6665
6675,0.0140,1048.0000,7049034.0942,0.0154,7344.0000,-243717645.2131,-236668611.1189,250766679.30729997,46451951068.786766,-163507865077.81287,-58407570182.5587
6680,0.0142,436.0000,4493513.8017,0.0158,3822.0000,-153182568.5187,-148689054.717,157676082.3204,5169929818.471587,-48684426657.755264,-58842830678.4148
6685,0.0106,108.0000,1881679.2101,0.0121,5573.0000,-208205499.7620,-206323820.5519,210087178.9721,1379720095.927017,-54241461665.90397,-59142394237.9493
6690,0.0154,387.0000,5181339.2878,0.0166,6341.0000,-314411348.5785,-309230009.29069996,319592687.8663,4888917186.9398155,-66005852189.6254,-59312548942.5777
6695,0.0123,189.0000,1655433.2175,0.0139,5979.0000,-257994120.4913,-256338687.2738,259649553.7088,2144683015.3732657,-59832676806.08146,-59361564142.8426
