Strike,Call Gamma,Call Open Interest,Call Gamma Exposure,Put Gamma,Put Open Interest,Put Gamma Exposure,Net Gamma Exposure,Absolute Gamma Exposure,Aggregated Call Exposure,Aggregated Put Exposure,Gamma Exposure Profile
23550,0.0000,0.0000,0.0000,0.0000,28.0000,-68832.7153,-68832.7153,68832.7153,,-970791836.6884006,-385685491.4352
23575,0.0000,0.0000,0.0000,0.0000,2.0000,-19666.4901,-19666.4901,19666.4901,,-342381903.6215617,-430531040.0318
23600,0.0001,0.0000,0.0000,0.0000,20.0000,-208956.4571,-208956.4571,208956.4571,0,-1094186914.8107922,-480201021.8506
23625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,-24704396.203940403,-535138580.1653
23650,0.0000,0.0000,0.0000,0.0000,67.0000,-658827.4175,-658827.4175,658827.4175,0,-1505406212.045938,-595785416.9719
23675,0.0000,0.0000,0.0000,0.0001,8.0000,-290080.7286,-290080.7286,290080.7286,,-157243281.18086776,-662532016.3329
23700,0.0001,0.0000,0.0000,0.0000,29.0000,-302986.8627,-302986.8627,302986.8627,0,-1619536397.3881338,-735655996.0648
23725,0.0000,0.0000,0.0000,0.0000,2.0000,-44249.6027,-44249.6027,44249.6027,,-41262362.817723915,-815254364.2851
23750,0.0000,0.0000,0.0000,0.0000,32.0000,-491662.2519,-491662.2519,491662.2519,,-918914576.7020417,-901177551.5464
23775,0.0000,0.0000,0.0000,0.0001,11.0000,-351538.5101,-351538.5101,351538.5101,,-263903077.96478826,-992974265.6738
23800,0.0000,0.0000,0.0000,0.0000,41.0000,-730733.0219,-730733.0219,730733.0219,0,-1403076218.2442687,-1089856134.2527
23825,0.0001,0.0000,0.0000,0.0000,13.0000,-375507.0449,-375507.0449,375507.0449,,-317309925.33224094,-1190689604.5224
23850,0.0000,0.0000,0.0000,0.0000,5.0000,-119842.6739,-119842.6739,119842.6739,0,-358961484.5419819,-1294019748.8179
23875,0.0001,0.0000,0.0000,0.0000,7.0000,-180685.8776,-180685.8776,180685.8776,,-160295529.88514197,-1398126814.0419
23900,0.0000,0.0000,0.0000,0.0001,97.0000,-3099930.4982,-3099930.4982,3099930.4982,0,-2557724875.6745563,-1501112104.6784
23925,0.0002,0.0000,0.0000,0.0000,47.0000,-1126521.1346,-1126521.1346,1126521.1346,,-1115686710.706192,-1601005769.5102
23950,0.0003,0.0000,0.0000,0.0001,74.0000,-2410374.1899,-2410374.1899,2410374.1899,,-1826374124.9392102,-1695885938.3050
23975,0.0000,0.0000,0.0000,0.0001,14.0000,-464620.8280,-464620.828,464620.828,,-412231723.4179244,-1783996957.5230
24000,0.0000,0.0000,0.0000,0.0001,436.0000,-14201664.1458,-14201664.1458,14201664.1458,26688365.826693095,-14329902657.823168,-1863854490.0274
24025,0.0000,0.0000,0.0000,0.0001,24.0000,-1047240.5965,-1047240.5965,1047240.5965,,-685181172.5649226,-1934326951.9508
24050,0.0000,0.0000,0.0000,0.0001,92.0000,-3675175.3329,-3675175.3329,3675175.3329,0,-2730795614.2102485,-1994685833.8079
24075,0.0000,0.0000,0.0000,0.0001,120.0000,-5973696.3605,-5973696.3605,5973696.3605,,-3579881513.2133493,-2044621328.5306
24100,0.0000,0.0000,0.0000,0.0001,71.0000,-4407137.5104,-4407137.5104,4407137.5104,109220128.7175263,-3592133883.8713217,-2084223684.6087
24125,0.0000,0.0000,0.0000,0.0001,44.0000,-2974556.6239,-2974556.6239,2974556.6239,0,-1429120077.0876665,-2113934163.3494
24150,0.0000,0.0000,0.0000,0.0001,53.0000,-3973860.1509,-3973860.1509,3973860.1509,31703440.1610227,-2180762358.8537593,-2134471913.7527
24175,0.0000,0.0000,0.0000,0.0001,84.0000,-7072561.4934,-7072561.4934,7072561.4934,0,-3301481360.0086293,-2146744252.6095
24200,0.0002,0.0000,0.0000,0.0002,120.0000,-11431147.3564,-11431147.3564,11431147.3564,121282760.93459047,-6232798301.411828,-2151747806.7613
24225,0.0000,0.0000,0.0000,0.0002,29.0000,-3118982.4104,-3118982.4104,3118982.4104,,-1157222633.5562723,-2150467047.0980
24250,0.0000,0.0000,0.0000,0.0002,173.0000,-20520138.6604,-20520138.6604,20520138.6604,0,-7906967037.219742,-2143775385.2151
24275,0.0000,0.0000,0.0000,0.0002,50.0000,-6944729.3079,-6944729.3079,6944729.3079,0,-2279542774.213861,-2132342708.1721
24300,0.0003,0.0000,0.0000,0.0003,93.0000,-15317737.4576,-15317737.4576,15317737.4576,23421950.157748964,-5439301423.786683,-2116552389.2523
24325,0.0000,0.0000,0.0000,0.0003,88.0000,-15467694.4445,-15467694.4445,15467694.4445,0,-4472572420.535163,-2096430630.5082
24350,0.0000,0.0000,0.0000,0.0003,108.0000,-22567297.3617,-22567297.3617,22567297.3617,0,-6054940073.88739,-2071591422.6631
24375,0.0000,0.0000,0.0000,0.0004,28.0000,-6693981.5595,-6693981.5595,6693981.5595,0,-1537556024.0717437,-2041201184.0757
24380,0.0006,0.0000,0.0000,0.0006,6.0000,-2057606.5242,-2057606.5242,2057606.5242,,-315406035.67278373,-2034351280.8267
24390,0.0006,0.0000,0.0000,0.0006,2.0000,-706764.4871,-706764.4871,706764.4871,,,-2019783792.9359
24400,0.0009,4.0000,1440570.3980,0.0010,211.0000,-71364161.2840,-69923590.88599999,72804731.682,656367035.6620433,-13434600975.477919,-2003967849.9063
24410,0.0006,0.0000,0.0000,0.0006,4.0000,-1497111.5570,-1497111.557,1497111.557,,,-1986784280.1526
24420,0.0006,0.0000,0.0000,0.0006,2.0000,-770680.5798,-770680.5798,770680.5798,,,-1968103853.1792
24425,0.0010,1.0000,389642.3346,0.0012,72.0000,-22993814.3653,-22604172.0307,23383456.6999,79915317.78200012,-4634549294.836434,-1958159374.7907
24430,0.0006,0.0000,0.0000,0.0006,1.0000,-396402.6906,-396402.6906,396402.6906,,,-1947788070.6873
24440,0.0007,0.0000,0.0000,0.0007,5.0000,-2037325.4563,-2037325.4563,2037325.4563,,,-1925690109.7007
24450,0.0012,6.0000,1954972.0291,0.0013,67.0000,-26259066.2956,-24304094.2665,28214038.3247,307261942.96772325,-4278505953.680656,-1901655916.9512
24460,0.0007,0.0000,0.0000,0.0007,3.0000,-1285082.2109,-1285082.2109,1285082.2109,,,-1875525451.4122
24470,0.0007,0.0000,0.0000,0.0007,3.0000,-1325644.3467,-1325644.3467,1325644.3467,,,-1847134069.3644
24475,0.0013,2.0000,714139.4209,0.0014,35.0000,-14469005.4953,-13754866.0744,15183144.9162,126586480.46131018,-2225794681.831618,-1832038196.2609
24480,0.0007,0.0000,0.0000,0.0007,8.0000,-3633384.0415,-3633384.0415,3633384.0415,,,-1816314043.7742
24490,0.0008,0.0000,0.0000,0.0008,11.0000,-5124349.8203,-5124349.8203,5124349.8203,,,-1782896207.1115
24500,0.0014,36.0000,15271029.5437,0.0015,218.0000,-101855210.4128,-86584180.8691,117126239.9565,3759211732.5894194,-16984757646.5199,-1746711704.1134
24510,0.0008,1.0000,494120.5631,0.0008,11.0000,-5360962.2790,-4866841.7159,5855082.8421,,,-1707593838.4595
24520,0.0008,0.0000,0.0000,0.0008,19.0000,-9516737.4631,-9516737.4631,9516737.4631,,,-1665379994.9356
24525,0.0016,1.0000,492891.4075,0.0017,29.0000,-14973573.8813,-14480682.4738,15466465.288800001,107570093.34987533,-1911941646.4847589,-1643062865.9189
24530,0.0008,0.0000,0.0000,0.0008,6.0000,-3075347.3856,-3075347.3856,3075347.3856,,-366911741.999503,-1619913616.4919
24540,0.0009,13.0000,6934896.0629,0.0009,4.0000,-2101856.1268,4833039.9361000005,9036752.1897,,-246522657.26448688,-1571046213.6926
24550,0.0018,23.0000,12566272.5805,0.0018,120.0000,-68808132.1520,-56241859.571499996,81374404.73249999,1593425038.821924,-10031205145.597845,-1518639382.4737
24560,0.0009,11.0000,6097841.0791,0.0009,5.0000,-2747162.8324,3350678.2466999996,8845003.9115,,,-1462566804.9062
24570,0.0009,0.0000,0.0000,0.0009,2.0000,-1120989.9343,-1120989.9343,1120989.9343,,,-1402716206.8458
